	subject	acc	f1
0	K300	0.6814420803782506	0.6609702870572436
1	K309	0.5203703703703704	0.516540832330306
2	K311	0.5119949494949495	0.5130816191016683
3	K312	0.5385844748858448	0.5240428070638368
4	K313	0.6461563307493541	0.6462528595394235
5	K314	0.5914502164502164	0.5908254938541129
6	K315	0.8233766233766234	0.8235294117647058
7	K316	0.41919191919191917	0.4182551919160291
8	K320	0.48	0.4781212364512244
9	K321	0.22053872053872053	0.21886900412515417
10	K322	0.7307692307692308	0.7306696263411024
11	K323	0.8369236583522297	0.8349514563106796
12	K324	0.48783922171018945	0.48780327868852463
13	K325	0.5249019607843137	0.5246592894583575
14	K327	0.5824561403508772	0.5803389423662955
15	K328	0.7287186379928315	0.730981293845169
16	K329	0.6602693602693603	0.6602071469165728
17	K332	0.6157407407407407	0.6173885874968046
18	K335	0.5583477135461605	0.5626559924652696
19	K336	0.668117744610282	0.6688243427673801
20	K337	0.625	0.6238390092879257
21	K338	0.7954545454545454	0.7953488372093023
22	K339	0.6217320261437909	0.6214865189914938
23	K354	0.5763319672131147	0.576
24	K355	0.4899573950091296	0.48695652173913045
25	K358	0.7609649122807017	0.7614678899082569
26	K359	0.5126705653021443	0.5131178673794159
27	K360	0.5024570024570024	0.4994896917738314
28	K361	0.5546875	0.5533516988062442
29	K362	0.54161013116237	0.5408343469435769
30	K364	0.5355392156862745	0.5357853825007108
31	K366	0.6945642795513374	0.6943165058494151
32	K368	0.5933574419489912	0.593103448275862
33	K369	0.7626344086021506	0.7622471672488031
34	K370	0.4	0.3993352326685661
35	K371	0.4880952380952381	0.4915805130653543
36	K372	0.611904761904762	0.6069553040028008
37	K373	0.48910256410256414	0.49135654261704687
38	K374	0.6493781094527363	0.6447017153948663
39	K375	0.6702380952380953	0.6697207977207977
