	subject	acc	f1
0	K300	0.4017220524573466	0.41176878676878675
1	K309	0.5333333333333333	0.47527931163197795
2	K311	0.7065217391304348	0.6813237941852099
3	K312	0.6537267080745341	0.6007254750898818
4	K313	0.634883667037449	0.6004830106575831
5	K314	0.6695906432748537	0.6344730111724324
6	K315	0.6250162337662337	0.6234787345176289
7	K316	0.3718483461618473	0.36700976632407833
8	K320	1.0	1.0
9	K321	0.8421052631578948	0.847247990105133
10	K322	0.45175438596491224	0.4643665158371041
11	K323	0.6308479532163742	0.6225901066363899
12	K324	0.775	0.7520086123859708
13	K325	0.6886456908344732	0.723158506723599
14	K327	0.8072368421052631	0.8319439561624316
15	K328	0.9090909090909091	0.9091136079900125
16	K329	0.8494152046783625	0.8374149659863945
17	K332	0.6055641554867561	0.5672989356116653
18	K335	0.5454347826086956	0.5476084302171259
19	K336	0.7836580086580086	0.796741285113378
20	K337	0.5747826086956522	0.567152274504004
21	K338	0.5340909090909091	0.49122019635343617
22	K339	0.8793706293706294	0.870883459524054
23	K354	0.5240297713981924	0.4490198735320687
24	K355	0.8333333333333334	0.8392489711934156
25	K358	0.5529878618113913	0.5037108018574578
26	K359	0.5250182748538011	0.5320566766836132
27	K360	0.5348758369353335	0.4578470684461468
28	K361	0.8141304347826086	0.806589343196486
29	K362	0.8375	0.8394845574210317
30	K364	0.38284607696151923	0.40204393549414585
31	K366	0.9300239234449761	0.9330615942028986
32	K368	0.6431159420289855	0.5161117233282182
33	K369	0.6340852130325814	0.6060325476992144
34	K370	0.8804347826086957	0.8636816235928333
35	K371	0.9535024154589371	0.95667776159767
36	K372	0.6412337662337663	0.5478399234693878
37	K373	0.6472032462870732	0.655605485938583
38	K374	0.5555124223602484	0.494755961398716
39	K375	0.6786542443064182	0.6407283312909446
